provider_parent_name,provider_org_name,total_waiting,over_18_weeks,over_52_weeks,over_104_weeks,breach_rate_pct
NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,39516.0,15186.0,810.0,1.0,38.4
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,NEWMEDICA - HAMPSHIRE,2322.0,890.0,6.0,0.0,38.3
NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,27038.0,10316.0,703.0,0.0,38.2
NHS SUSSEX INTEGRATED CARE BOARD,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,20841.0,7951.0,226.0,0.0,38.2
NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,93272.0,35583.0,1511.0,0.0,38.1
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,OAKLANDS HOSPITAL,3807.0,1452.0,0.0,0.0,38.1
NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,50932.0,19403.0,599.0,0.0,38.1
NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,52237.0,19928.0,994.0,1.0,38.1
NHS KENT AND MEDWAY INTEGRATED CARE BOARD,MEDWAY NHS FOUNDATION TRUST,34098.0,12947.0,285.0,0.0,38.0
NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,WOODLAND HOSPITAL,5086.0,1927.0,4.0,0.0,37.9
NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,21841.0,8278.0,132.0,0.0,37.9
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,BOLTON NHS FOUNDATION TRUST,37849.0,14335.0,374.0,0.0,37.9
"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,84499.0,32045.0,453.0,0.0,37.9
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,STOCKPORT NHS FOUNDATION TRUST,33996.0,12869.0,232.0,0.0,37.9
NHS KENT AND MEDWAY INTEGRATED CARE BOARD,SPENCER PRIVATE HOSPITALS LTD,3581.0,1353.0,33.0,0.0,37.8
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,60650.0,22935.0,560.0,0.0,37.8
NHS NORTH EAST LONDON INTEGRATED CARE BOARD,BARTS HEALTH NHS TRUST,121511.0,45669.0,1008.0,0.0,37.6
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,30585.0,11477.0,409.0,0.0,37.5
"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33448.0,12523.0,877.0,1.0,37.4
NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,55602.0,20794.0,759.0,0.0,37.4
NHS DORSET INTEGRATED CARE BOARD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,21497.0,8017.0,243.0,0.0,37.3
NHS DEVON INTEGRATED CARE BOARD,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,70725.0,26337.0,1254.0,0.0,37.2
